Day,Date,Holiday Name,Type,Comments
Sunday,2023-01-22,Chinese New Year,National Holiday,1st day of 1st lunar month
Monday,2023-01-23,Chinese New Year Holiday,National Holiday,
Friday,2023-04-21,Hari Raya Aidilfitri Holiday,National Holiday,Public holiday for Eid Al-Fitr
Saturday,2023-04-22,Hari Raya Aidilfitri,National Holiday,End of Ramadan
Sunday,2023-04-23,Hari Raya Aidilfitri Holiday,National Holiday,Second day of holiday for Eid Al-Fitr
Monday,2023-05-01,Labour Day,National Holiday,International Workers' Day
Thursday,2023-05-04,Wesak Day,National Holiday,Birth of Buddha
Monday,2023-06-05,Birthday of SPB Yang di Pertuan Agong,National Holiday,1st Monday in June
Thursday,2023-06-29,Hari Raya Haji,National Holiday,Festival of Sacrifice
Wednesday,2023-07-19,Awal Muharram,National Holiday,Hijri New Year
Thursday,2023-08-31,National Day,National Holiday,Independence Day
Saturday,2023-09-16,Malaysia Day,National Holiday,Became a Federal Holiday in 2010
Thursday,2023-09-28,Maulidur Rasul,National Holiday,Birthday of Prophet Muhammad
Monday,2023-12-25,Christmas Day,National Holiday,
