Day,Date,Holiday Name,Type,Comments
Sunday,2023-01-01,New Year's Day,Regional Holiday,Most states
Monday,2023-01-02,New Year's Day (in lieu),Regional Holiday,Most states
Saturday,2023-01-14,Birthday of the Sultan of Negeri Sembilan,Regional Holiday,Negeri Sembilan only
Sunday,2023-01-22,Chinese New Year,National Holiday,1st day of 1st lunar month
Monday,2023-01-23,Chinese New Year Holiday,National Holiday,
Tuesday,2023-01-24,Chinese New Year Holiday,Regional Holiday,"Except JHR, KDH, KTN, TRG"
Wednesday,2023-02-01,Federal Territory Day,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya"
Sunday,2023-02-05,Thaipusam,Regional Holiday,Several states
Monday,2023-02-06,Thaipusam (in lieu),Regional Holiday,Several states
Saturday,2023-02-18,Isra and Miraj,Regional Holiday,"Kedah, Perlis and Negeri Sembilan"
Saturday,2023-03-04,Anniversary of Installation of the Sultan,Regional Holiday,Terengganu
Thursday,2023-03-23,Birthday of the Sultan of Johor,Regional Holiday,Johor only
Thursday,2023-03-23,Beginning of Ramadan,Regional Holiday,"Kedah, Malacca"
Sunday,2023-03-26,Beginning of Ramadan (in lieu),Regional Holiday,Johor
Friday,2023-04-07,Good Friday,Regional Holiday,Sabah and Sarawak
Saturday,2023-04-08,Nuzul Al-Quran Day,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak"
Saturday,2023-04-15,Declaration of Malacca as a Historical City,Regional Holiday,Malacca
Friday,2023-04-21,Hari Raya Aidilfitri Holiday,National Holiday,Public holiday for Eid Al-Fitr
Saturday,2023-04-22,Hari Raya Aidilfitri,National Holiday,End of Ramadan
Sunday,2023-04-23,Hari Raya Aidilfitri Holiday,National Holiday,Second day of holiday for Eid Al-Fitr
Monday,2023-04-24,Hari Raya Aidilfitri Holiday,Regional Holiday,"Except KDH,KTN,TRG"
Wednesday,2023-04-26,Birthday of the Sultan of Terengganu,Regional Holiday,Terengganu only. Always celebrated on 26 April
Monday,2023-05-01,Labour Day,National Holiday,International Workers' Day
Thursday,2023-05-04,Wesak Day,National Holiday,Birth of Buddha
Sunday,2023-05-14,Mother's Day,Not A Public Holiday,2nd Sunday in May. Not a public holiday
Wednesday,2023-05-17,Birthday of the Raja of Perlis,Regional Holiday,Perlis only
Monday,2023-05-22,The Sultan of Pahang Hol,Regional Holiday,Pahang
Tuesday,2023-05-30,Pesta Kaamatan,Regional Holiday,Sabah and Labuan only
Wednesday,2023-05-31,Pesta Kaamatan,Regional Holiday,Sabah and Labuan only
Thursday,2023-06-01,Gawai Dayak,Regional Holiday,Sarawak
Friday,2023-06-02,Gawai Dayak,Regional Holiday,Sarawak
Monday,2023-06-05,Birthday of SPB Yang di Pertuan Agong,National Holiday,1st Monday in June
Sunday,2023-06-18,Birthday of the Sultan of Kedah,Regional Holiday,Kedah only
Sunday,2023-06-18,Father's Day,Not A Public Holiday,3rd Sunday in June. Not a public holiday
Wednesday,2023-06-28,Arafat (Haj) Day,Regional Holiday,"Kelantan, Terengganu"
Thursday,2023-06-29,Hari Raya Haji,National Holiday,Festival of Sacrifice
Friday,2023-06-30,Hari Raya Haji Holiday,Regional Holiday,Some states
Friday,2023-06-30,Hari Raya Haji Holiday,Government Holiday,Selangor. Civil servants
Friday,2023-07-07,George Town Heritage Day,Regional Holiday,Penang only
Saturday,2023-07-08,Birthday of the Governor,Regional Holiday,Penang
Wednesday,2023-07-19,Awal Muharram,National Holiday,Hijri New Year
Saturday,2023-07-22,Sarawak Day,Regional Holiday,
Sunday,2023-07-30,Birthday of the Sultan of Pahang,Regional Holiday,Pahang only
Sunday,2023-08-13,Public Holiday,Regional Holiday,Terengganu
Monday,2023-08-14,Public Holiday,Regional Holiday,Selangor
Wednesday,2023-08-23,The Sultan of Johor Hol,Regional Holiday,Johor only
Thursday,2023-08-24,Melaka Governor's Birthday,Regional Holiday,Melaka
Thursday,2023-08-31,National Day,National Holiday,Independence Day
Saturday,2023-09-16,Malaysia Day,National Holiday,Became a Federal Holiday in 2010
Thursday,2023-09-28,Maulidur Rasul,National Holiday,Birthday of Prophet Muhammad
Saturday,2023-10-07,Birthday of the Governor of Sabah,Regional Holiday,Sabah only. 1st Saturday in October
Saturday,2023-10-14,Birthday of the Governor of Sarawak,Regional Holiday,Sarawak only
Friday,2023-11-03,Birthday of the Sultan of Perak,Regional Holiday,Perak
Saturday,2023-11-11,Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan only
Sunday,2023-11-12,Deepavali,Regional Holiday,The festival of lights. Except Sarawak
Sunday,2023-11-12,Birthday of the Sultan of Kelantan Holiday,Regional Holiday,Kelantan only. Second day
Monday,2023-11-13,Deepavali Holiday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG"
Monday,2023-12-11,Birthday of The Sultan of Selangor,Regional Holiday,Selangor
Sunday,2023-12-24,Christmas Eve,Regional Holiday,Sabah
Monday,2023-12-25,Christmas Day,National Holiday,
